CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;04:00:00:828;41,27766927;2,08018242;68,5799462068826;224,999830713389;1,699219;215,623169;1000,0;2,25;34310D;BCS3LR;1013,2;;;;;;15,292969;132,0;0,2;-480,0;-608,0;2224;126,5;18,4296;No alert, no SPI, aircraft airbone;32480,25559129743;18059,089956817694;68,5799462068826
CAT048;20;129;04:00:03:539;41,28843459;2,19497847;838,187928345986;2749,96048283464;4,289062;99,898682;437,0;27,5;4CA739;RYR82GJ;1013,2;;;;;;96,855469;211,0;0,336;2656,0;2720,0;3862;231,44;97,9541;No alert, no SPI, aircraft airbone;42091,04465924609;19303,883762807098;838,187928345986
CAT048;20;129;04:00:04:844;41,27988156;2,08114771;53,3398903207853;174,999645760045;1,566406;217,150269;1000,0;1,75;34310D;BCS3LR;1013,3;;;;;;15,292969;135,0;0,204;-736,0;-640,0;2224;126,94;18,8635;No alert, no SPI, aircraft airbone;32560,031128217874;18305,14585026061;53,3398903207853
CAT048;20;129;04:00:07:531;41,28786654;2,2005963;891,526419227943;2924,9555372598;4,546875;99,766846;437,0;29,25;4CA739;RYR82GJ;1013,2;;;;;;97,03125;211,0;0,336;2752,0;2720,0;3862;231,22;97,7069;No alert, no SPI, aircraft airbone;42562,00055942472;19243,530392854747;891,526419227943
CAT048;20;129;04:00:08:852;41,28215743;2,08219362;38,099845122546;124,999495871854;1,429688;218,94104;1000,0;1,25;34310D;BCS3LR;1013,3;0,879;18,633;126.0;0,062;136,0;16,171875;133,0;0,2;-704,0;-704,0;2224;126,5;18,4296;No alert, no SPI, aircraft airbone;32646,523521470754;18558,294139660517;38,099845122546
CAT048;20;129;04:00:11:523;41,2873026;2,20621449;944,864821069874;3099,95029955889;4,804688;99,645996;437,0;31,0;4CA739;RYR82GJ;1013,2;0,879;97,91;232.0;0,062;228,0;97,03125;211,0;0,336;2752,0;2656,0;3862;232,32;97,9156;No alert, no SPI, aircraft airbone;43032,99197583748;19183,664072058327;944,864821069874
CAT048;20;129;04:00:12:875;41,28441084;2,08320061;30,4798078369349;99,9993727437296;1,296875;221,127319;1000,0;1,0;34310D;BCS3LR;1013,2;;;;;;16,171875;128,0;0,196;-384,0;-512,0;2224;125,4;19,5886;No alert, no SPI, aircraft airbone;32729,760444732274;18808,93455096793;30,4798078369349
CAT048;20;129;04:00:15:516;41,28668668;2,21199657;998,203084697016;3274,94460839736;5,070312;99,558105;437,0;32,75;4CA739;RYR82GJ;1013,2;;;;;;97,03125;210,0;0,336;2656,0;2688,0;3862;232,54;98,1628;No alert, no SPI, aircraft airbone;43517,75478854305;19118,13730872308;998,203084697016
CAT048;20;129;04:00:16:891;41,28655323;2,08418667;15,2397822970524;49,9992873514615;1,171875;223,615723;1000,0;0,5;34310D;BCS3LR;1013,3;;;;;;14,765625;129,0;0,196;-864,0;-672,0;2224;124,08;19,3085;No alert, no SPI, aircraft airbone;32811,293923236706;19047,238343457208;15,2397822970524
CAT048;20;129;04:00:19:508;41,28608302;2,21751692;1051,54133974575;3449,93888909143;5,324219;99,492188;437,0;34,5;4CA739;RYR82GJ;1013,2;;;;;;96,855469;210,0;0,34;2528,0;2560,0;3862;233,86;98,6133;No alert, no SPI, aircraft airbone;43980,59326425303;19053,871983436886;1051,54133974575
CAT048;20;129;04:00:20:922;41,28874252;2,08519936;-0,00023521669209;-0,0007717083320766;1,046875;226,757812;1000,0;0,0;34310D;BCS3LR;1013,3;;;;;;13,535156;125,0;0,188;-864,0;-288,0;2224;122,32;18,5779;No alert, no SPI, aircraft airbone;32895,02918038248;19290,7619203534;-0,00023521669209
CAT048;20;129;04:00:23:508;41,285432;2,22320256;1104,87945407443;3624,93270810554;5,585938;99,448242;437,0;36,25;4CA739;RYR82GJ;1013,2;;;;;;96,855469;211,0;0,34;2528,0;2400,0;3862;234,74;98,5748;No alert, no SPI, aircraft airbone;44457,318706919585;18984,460748553698;1104,87945407443
CAT048;20;129;04:00:24:961;41,29084333;2,08608534;-0,0002479990944266;-0,0008136453489586;0,933594;230,707397;1000,0;-0,25;34310D;BCS3LR;1013,3;1,23;18,633;118.0;-1,25;124,0;14,765625;122,0;0,184;-224,0;-128,0;2224;117,04;18,4296;No alert, no SPI, aircraft airbone;32968,18917346192;19524,412010171127;-0,0002479990944266
CAT048;20;129;04:00:27:500;41,28478447;2,22898654;1150,59744210821;3774,92611196629;5,851562;99,398804;437,0;37,75;4CA739;RYR82GJ;1013,2;-0,176;98,613;236.0;-0,031;232,0;97,03125;213,0;0,344;2592,0;2496,0;3862;236,72;98,5034;No alert, no SPI, aircraft airbone;44942,28941475361;18915,51907833673;1150,59744210821
CAT048;20;129;04:00:29:008;41,29281487;2,08692605;-0,0002521509304642;-0,0008272668587043;0,832031;235,354614;1000,0;-0,25;34310D;BCS3LR;1013,2;;;;;;20,039062;105,0;0,16;-128,0;-32,0;2224;106,92;19,1107;No alert, no SPI, aircraft airbone;33037,61761253867;19743,689096339585;-0,0002521509304642
CAT048;20;129;04:00:31:500;41,28412501;2,23484601;1203,93530819844;3949,91911654978;6,121094;99,354858;437,0;39,5;4CA739;RYR82GJ;1013,2;;;;;;96,855469;216,0;0,352;2368,0;2272,0;3862;237,82;98,7067;No alert, no SPI, aircraft airbone;45433,60161904988;18845,324151410423;1203,93530819844
CAT048;20;129;04:00:33:063;41,29457961;2,0877996;-0,0002448735758662;-0,0008033910226449;0,742188;240,3479;1000,0;-0,25;34310D;BCS3LR;1013,2;;;;;;19,160156;99,0;0,148;32,0;-64,0;2224;96,58;19,3689;No alert, no SPI, aircraft airbone;33109,8968312538;19940,01234379591;-0,0002448735758662
CAT048;20;129;04:00:35:492;41,28347106;2,24054985;1242,03313882463;4074,91200318139;6,382812;99,321899;437,0;40,75;4CA739;RYR82GJ;1013,2;;;;;;97,03125;219,0;0,356;1984,0;1568,0;3862;240,9;98,5968;No alert, no SPI, aircraft airbone;45911,88252087183;18775,692102472207;1242,03313882463
CAT048;20;129;04:00:39:484;41,28275703;2,24660161;1272,51073809341;4174,90412996637;6,660156;99,299927;437,0;41,75;4CA739;RYR82GJ;1013,2;;;;;;97,207031;223,0;0,364;1216,0;992,0;3862;247,06;98,6188;No alert, no SPI, aircraft airbone;46419,36223658716;18699,604611840237;1272,51073809341
CAT048;20;129;04:00:43:477;41,28204512;2,25266254;1295,3682305878;4249,89590564169;6,9375;99,277954;437,0;42,5;4CA739;RYR82GJ;1013,2;0,352;98,613;252.0;0,062;250,0;97,207031;229,0;0,372;1216,0;832,0;3862;253,0;98,6407;No alert, no SPI, aircraft airbone;46927,619801732675;18623,792822304673;1295,3682305878
CAT048;20;129;04:00:47:469;41,28133751;2,25899631;1310,60549839772;4299,88694336319;7,226562;99,239502;437,0;43,0;4CA739;RYR82GJ;1013,2;;;;;;97,382812;235,0;0,384;1280,0;1024,0;3862;259,16;98,6572;No alert, no SPI, aircraft airbone;47458,742815301935;18548,642824709495;1310,60549839772
CAT048;20;129;04:00:51:469;41,28061477;2,26540458;1333,46261968743;4374,87750117531;7,519531;99,206543;437,0;43,75;4CA739;RYR82GJ;1013,2;;;;;;97,382812;240,0;0,392;1344,0;1120,0;3862;265,32;98,6792;No alert, no SPI, aircraft airbone;47996,129391204326;18471,89228518679;1333,46261968743
CAT048;20;129;04:00:55:461;41,27985095;2,27188234;1363,93959413562;4474,86757802391;7,816406;99,190063;437,0;44,75;4CA739;RYR82GJ;1013,2;;;;;;97,207031;245,0;0,4;1664,0;1536,0;3862;270,38;98,7286;No alert, no SPI, aircraft airbone;48539,379563893126;18390,65781695627;1363,93959413562
CAT048;20;129;04:00:59:461;41,2790823;2,27852575;1402,03636815678;4599,8569981035;8,121094;99,168091;437,0;46,0;4CA739;RYR82GJ;1013,2;-0,176;98,789;274.0;0,031;272,0;97,207031;247,0;0,404;2144,0;2304,0;3862;273,46;98,8385;No alert, no SPI, aircraft airbone;49096,52358957807;18309,020870940833;1402,03636815678
CAT048;20;129;04:01:03:453;41,27832598;2,28498734;1447,75311204791;4749,84632013127;8,417969;99,151611;437,0;47,5;4CA739;RYR82GJ;1013,2;;;;;;97,910156;249,0;0,408;2496,0;2496,0;3862;275,44;98,7726;No alert, no SPI, aircraft airbone;49638,438145734246;18228,692059920075;1447,75311204791
CAT048;20;129;04:01:07:445;41,27748989;2,29177436;1501,08956798725;4924,83469823528;8,730469;99,151611;437,0;49,25;4CA739;RYR82GJ;1013,2;;;;;;100,371094;251,0;0,412;2656,0;2720,0;3862;276,76;100,415;No alert, no SPI, aircraft airbone;50207,69058531703;18139,73213700878;1501,08956798725
CAT048;20;129;04:01:11:445;41,27649355;2,29843855;1554,42597224377;5099,82290677625;9,039062;99,217529;437,0;51,0;4CA739;RYR82GJ;1013,2;;;;;;103,007812;252,0;0,416;2976,0;3104,0;3862;277,2;102,9309;No alert, no SPI, aircraft airbone;50766,790417548764;18032,947809136505;1554,42597224377
CAT048;20;129;04:01:15:438;41,27519381;2,30501799;1623,00231942628;5324,8109296665;9,347656;99,393311;437,0;53,25;4CA739;RYR82GJ;1013,2;19,512;106,172;276.0;1,312;278,0;107,402344;251,0;0,416;3136,0;3136,0;3862;277,2;106,1389;No alert, no SPI, aircraft airbone;51319,04321036348;17892,461169822145;1623,00231942628
CAT048;20;129;04:01:19:438;41,27357017;2,31144209;1683,95866026357;5524,79893093913;9,652344;99,678955;437,0;55,25;4CA739;RYR82GJ;1013,2;;;;;;113,554688;250,0;0,416;3008,0;2944,0;3862;276,76;111,6431;No alert, no SPI, aircraft airbone;51858,55864651555;17715,951874933893;1683,95866026357
CAT048;20;129;04:01:23:438;41,2706883;2,31738979;1737,29526754655;5699,78780557742;9,949219;100,39856;437,0;57,0;4CA739;RYR82GJ;1013,2;;;;;;120,234375;251,0;0,42;2944,0;2912,0;3862;277,64;118,8721;No alert, no SPI, aircraft airbone;52359,188059169384;17399,4586525363;1737,29526754655
CAT048;20;129;04:01:24:789;41,28550594;2,08365183;-0,0002089813351631;-0,0006856343236565;1,234375;222,418213;1000,0;0,0;4CAD3C;RYR1FB;1014,0;;;;;;63,28125;114,0;0,172;224,0;32,0;2077;111,1;65,5115;No alert, no SPI, aircraft airbone;32767,013906768236;18930,725441808536;-0,0002089813351631
CAT048;20;129;04:01:27:438;41,26832014;2,32316401;1798,25186360814;5899,77664420012;10,234375;100,914917;437,0;59,0;4CA739;RYR82GJ;1013,2;;;;;;127,089844;250,0;0,42;2976,0;2976,0;3862;278,3;125,6287;No alert, no SPI, aircraft airbone;52844,910818166565;17139,94614701824;1798,25186360814
CAT048;20;129;04:01:28:758;41,28649143;2,08635715;-0,0001122606918215;-0,0003683093681558;1,109375;219,80896;1000,0;0,0;4CAD3C;RYR1FB;1014,0;;;;;;63,632812;128,0;0,196;192,0;32,0;2077;126,28;65,6653;No alert, no SPI, aircraft airbone;32993,14561736991;19041,195891451283;-0,0001122606918215
CAT048;20;129;04:01:32:711;41,28752418;2,08937686;-2,40374356508255e-05;-7,88629803806543e-05;0,976562;215,974731;1000,0;0,0;4CAD3C;RYR1FB;1014,0;;;;;;63,457031;142,0;0,216;192,0;0,0;2077;140,58;65,6213;No alert, no SPI, aircraft airbone;33245,58251814701;19157,042180494922;-2,40374356508255e-05
CAT048;20;129;04:01:36:641;41,28860389;2,09270993;4,79398295283318e-05;0,0001572829103097;0,839844;210,234375;1000,0;0,0;4CAD3C;RYR1FB;1014,0;1,055;65,566;154.0;0,062;156,0;63,457031;154,0;0,232;-320,0;128,0;2077;154,0;65,4291;No alert, no SPI, aircraft airbone;33524,23668670814;19278,233337385383;4,79398295283318e-05
CAT048;20;129;04:01:40:547;41,28969929;2,09621458;9,36249271035194e-05;0,0003071684058383;0,710938;201,829834;1000,0;0,0;4CAD3C;RYR1FB;1014,0;;;;;;64,335938;163,0;0,248;1408,0;576,0;2077;164,78;66,3904;No alert, no SPI, aircraft airbone;33817,24605939661;19401,244421023515;9,36249271035194e-05
CAT048;20;129;04:01:44:406;41,29094485;2,09983001;30,4801045265049;100,000346134738;0,59375;189,772339;1000,0;1,0;4CAD3C;RYR1FB;1014,0;;;;;;64,160156;166,0;0,252;1472,0;1920,0;2077;168,52;66,9342;No alert, no SPI, aircraft airbone;34119,44627797328;19540,987466843093;30,4801045265049
CAT048;20;129;04:01:48:211;41,29211386;2,10348375;68,5800833972171;225,000280812926;0,519531;172,86438;1000,0;2,25;4CAD3C;RYR1FB;1014,0;;;;;;60,644531;163,0;0,248;1856,0;1984,0;2077;168,52;66,9342;No alert, no SPI, aircraft airbone;34424,883908198804;19672,256681715622;68,5800833972171
CAT048;20;129;04:01:51:984;41,29324277;2,10711537;99,0600286405534;325,000104365073;0,503906;152,918701;1000,0;3,25;4CAD3C;RYR1FB;1014,0;1,406;66,797;170.0;0,094;170,0;60,820312;165,0;0,252;1632,0;1312,0;2077;171,82;67,0166;No alert, no SPI, aircraft airbone;34728,479183249954;19799,076451606405;99,0600286405534
CAT048;20;129;04:01:55:766;41,29439239;2,11083528;121,919936978258;399,999806035749;0,550781;133,626709;1000,0;4,0;4CAD3C;RYR1FB;1014,0;;;;;;62,578125;171,0;0,26;1632,0;1248,0;2077;176,44;67,6538;No alert, no SPI, aircraft airbone;35039,448182365675;19928,244540453295;121,919936978258
CAT048;20;129;04:01:59:586;41,29556109;2,11468191;152,399804434739;499,999374381669;0,652344;118,366699;1000,0;5,0;4CAD3C;RYR1FB;1014,0;;;;;;66,445312;174,0;0,264;1024,0;1312,0;2077;181,06;69,9609;No alert, no SPI, aircraft airbone;35361,00960124723;20059,59649264855;152,399804434739
