CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;08:00:02:305;41,27776959;2,06257282;266,698407655582;874,994803772739;2,257812;232,415771;6356,0;8,75;3424D2;VLG7KT;1015;;;;;;-132,011719;162;0,248;2976;3008;3939;163,68;233,1958;No alert, no SPI, aircraft airbone;16,741442429828876;9,753585356312358
CAT048;20;129;08:00:03:570;41,57222863;2,0153375;853,515134553425;2800,24659404826;16,753906;346,514282;7377,0;28,0;34630A;BSO551S;;;;;;;;;;;;640;72,16;314,1431;No alert, no SPI, aircraft airbone;14,539205123145939;27,403861955056804
CAT048;20;129;08:00:03:594;41,56353981;2,03052159;1120,21316072531;3675,24014623403;16,101562;348,447876;7000,0;36,75;343450;ECLBE;1023;-1,406;141,68;146;NV;144;136,054688;132;0,212;320;NV;2062;158,18;134,5935;No alert, no SPI, aircraft airbone;15,225058605013754;26,885366140731897
CAT048;20;129;08:00:03:742;41,54723879;2,11033463;1051,63068632875;3450,2320209348;14,800781;1,444702;7070,0;34,5;344287;ECLHB;1016;1,055;-165,938;120;NV;120;-168,398438;111;0,18;-96;NV;3964;121,66;186,4655;No alert, no SPI, aircraft airbone;18,824683426313104;25,923360077834094
CAT048;20;129;08:00:03:781;41,47485737;2,1215743;723,934905673377;2375,11459592944;10,488281;4,817505;7060,0;23,75;34318D;ECKOQ;1016;;;;;;174,902344;75;0,12;608;NV;3701;82,06;183,5431;No alert, no SPI, aircraft airbone;19,35244518109014;21,585000642738414
CAT048;20;129;08:00:03:758;41,56314217;2,120971;640,159642987885;2100,26136310037;15,765625;3,098145;7022,0;21,0;3460D4;BSO1JR;;;;;;;;;;;;2892;108,46;315,6537;No alert, no SPI, aircraft airbone;19,299192209826895;26,87945036108186
CAT048;20;129;08:00:03:953;41,57004231;2,23859156;762,058059597388;2500,19056424949;17,292969;20,835571;7056,0;25,0;3422D8;;;;;;;;;;;;;3807;115,94;242,6056;No alert, no SPI, aircraft airbone;24,59447536711776;27,322916263579526
CAT048;20;129;08:00:04:094;41,61802281;2,3744389;1028,71214783657;3375,03996310814;22,660156;32,76123;7371,0;33,75;342603;ECJTJ;1016;;;;;;53,261719;100;0,16;-192;NV;3601;100,98;52,674;No alert, no SPI, aircraft airbone;30,690117817523543;30,243578798570887
CAT048;20;129;08:00:04:070;41,57813788;2,32450375;845,839620852843;2775,06446167884;19,4375;31,030884;7034,0;27,75;342594;ECJSN;1016;;;;;;107,753906;107;0,172;-384;NV;44;108,46;99,7064;No alert, no SPI, aircraft airbone;28,46019958747557;27,834604040343994
CAT048;20;129;08:00:04:242;41,45255342;2,31770373;1493,48117239028;4899,87276962493;13,359375;46,856689;1000,0;49,0;3444CA;VLG9HN;1015;;;;;;70,3125;225;0,372;-736;-640;1713;249,48;75,1245;No alert, no SPI, aircraft airbone;28,208036451331495;20,300930991914722
CAT048;20;129;08:00:04:391;41,47209295;2,49843694;845,632075024769;2774,38353702426;20,648438;60,007324;2165,0;27,75;406909;EZY53KT;1015;;;;;;-174,199219;200;0,32;-480;-416;1965;213,84;184,2957;No alert, no SPI, aircraft airbone;36,3515149345507;21,539657175794265
CAT048;20;129;08:00:04:445;41,41612848;2,42852715;1234,30471193511;4049,55627110519;16,308594;64,753418;6306,0;40,5;3443D2;VLG684H;1015;;;;;;-113,554688;201;0,328;-192;-224;2464;223,08;247,5769;No alert, no SPI, aircraft airbone;33,22661021413054;18,15558040851209
CAT048;20;129;08:00:04:398;41,32470888;2,15931424;259,076029730961;849,987001382525;2,964844;60,90271;6424,0;8,5;02019D;MAC373P;1015;;;;;;-114,433594;135;0,208;-768;-736;143;139,26;245,8246;No alert, no SPI, aircraft airbone;21,102822535787794;12,589410992917639
CAT048;20;129;08:00:04:430;41,34983558;2,23294428;594,338558018208;1949,92971468846;6,617188;63,484497;1000,0;19,5;ABFA24;AAL40;1015;-0,176;-114,258;166;-0,062;166;-113,378906;157;0,248;-1024;-928;1736;166,54;245,896;No alert, no SPI, aircraft airbone;24,422019870316827;14,115426381608035
CAT048;20;129;08:00:04:555;41,39884042;2,58657883;1455,09882930294;4773,94644313025;22,6875;74,794922;1000,0;47,75;4CA643;RYR2246;1015;;;;;;29,882812;202;0,332;-256;-224;2891;222,64;34,1895;No alert, no SPI, aircraft airbone;40,37214489437004;17,18552552877555
CAT048;20;129;08:00:04:836;41,24367444;2,51712287;1478,03928204905;4849,21039811781;19,105469;100,184326;1743,0;48,5;4BA9D3;THY90W;1015;;;;;;-87,363281;250;0,412;-992;-992;3243;277,64;273,3014;No alert, no SPI, aircraft airbone;37,32379552869254;7,849679339616928
CAT048;20;129;08:00:06:297;41,27569788;2,05983454;327,65820735693;1074,99415302491;2,433594;231,877441;6356,0;10,75;3424D2;VLG7KT;1015;;;;;;-142,03125;158;0,244;2848;2496;3939;162,8;225,0;No alert, no SPI, aircraft airbone;16,61808939594378;9,628826627043107
CAT048;20;129;08:00:07:563;41,57186983;2,01229662;853,514151482843;2800,24336875097;16,765625;346,04187;7377,0;28,0;34630A;BSO551S;;;;;;;;;;;;640;101,86;270,4614;No alert, no SPI, aircraft airbone;14,402335109212979;27,381838339495644
CAT048;20;129;08:00:07:594;41,56140578;2,03266389;1120,21229502931;3675,23730602397;15,957031;348,695068;7000,0;36,75;343450;ECLBE;1023;;;;;;136,230469;130;0,212;64;NV;2062;152,9;136,8018;No alert, no SPI, aircraft airbone;15,322051991664953;26,757758815688383
CAT048;20;129;08:00:07:734;41,54510055;2,10976326;1044,00948389433;3425,22807513988;14,671875;1,356812;7070,0;34,25;344287;ECLHB;1016;;;;;;-168,398438;111;0,18;-128;NV;3964;121,66;187,7014;No alert, no SPI, aircraft airbone;18,79955583197967;25,795001859238077
CAT048;20;129;08:00:07:766;41,56404726;2,12907217;640,159667667933;2100,26144407166;15,84375;4,405518;7022,0;21,0;3460D4;BSO1JR;;;;;;;;;;;;2892;252,78;77,2668;No alert, no SPI, aircraft airbone;19,663814297992843;26,93554336003877
CAT048;20;129;08:00:07:773;41,47335826;2,12145019;731,554307406768;2400,11263391242;10,398438;4,828491;7060,0;24,0;34318D;ECKOQ;1016;-0,176;-179,824;84;NV;82;172,617188;78;0,124;512;NV;3701;82,06;183,6145;No alert, no SPI, aircraft airbone;19,34728995299401;21,495070188224634
CAT048;20;129;08:00:07:945;41,56948401;2,23587505;792,538749491796;2600,19283088266;17,21875;20,494995;7056,0;26,0;3422D8;;;;;;;;;;;;;3807;115,06;248,5822;No alert, no SPI, aircraft airbone;24,472340052143277;27,288668226697613
CAT048;20;129;08:00:08:086;41,61900506;2,37673137;1021,0910983989;3350,03651927105;22,765625;32,89856;7371,0;33,5;342603;ECJTJ;1016;;;;;;51,679688;101;0,16;-96;NV;3601;101,42;53,7286;No alert, no SPI, aircraft airbone;30,792825112042113;30,303297147327914
CAT048;20;129;08:00:08:070;41,57761271;2,32698649;845,837715334259;2775,05820997725;19,46875;31,360474;7034,0;27,75;342594;ECJSN;1016;;;;;;102,480469;107;0,172;32;NV;44;107,14;101,4862;No alert, no SPI, aircraft airbone;28,572230927044334;27,803921570562927
CAT048;20;129;08:00:08:242;41,45415282;2,32354131;1485,85813239589;4874,86279508974;13,617188;47,318115;1000,0;48,75;3444CA;VLG9HN;1015;-9,492;68,555;246;-0,75;246;65,039062;223;0,368;-576;-480;1713;247,28;68,6261;No alert, no SPI, aircraft airbone;28,470722487827434;20,39874523053884
CAT048;20;129;08:00:08:391;41,46827059;2,49753151;838,011567940935;2749,38187256334;20,5;60,507202;2165,0;27,5;406909;EZY53KT;1015;24,785;-166,816;214;2,219;214;-165,410156;200;0,32;-416;-448;1965;213,84;193,255;No alert, no SPI, aircraft airbone;36,3127934985089;21,310052207890315
CAT048;20;129;08:00:08:438;41,41450391;2,42342277;1226,68895486742;4024,57019068723;16,058594;64,720459;6306,0;40,25;3443D2;VLG684H;1015;;;;;;-114,082031;201;0,328;-384;-320;2464;223,3;247,3352;No alert, no SPI, aircraft airbone;32,996999852375374;18,05621770724921
