CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;20:00:01:922;41,18774977;2,03406883;1310,64854723588;4300,02817971335;7,472656;204,455566;5315;43;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-144,316406;212;0,348;3616;3520;1528;237,82;214,8926;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:02:125;41,2663246;2,05981513;350,518861990422;1149,99630317266;2,816406;222,841187;6330;11,5;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-163,476562;157;0,24;1728;1696;1867;161,7;197,6495;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:02:898;41,45503112;1,59823162;1455,08868111763;4773,91314855797;24,582031;292,296753;7371;47,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;81,5625;98;0,16;-832;NV;18;105,82;88,3136;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:04:359;41,37077869;2,2943552;815,293375806883;2674,84711908225;9,664062;64,13269;1000;26,75;4D2049;WMT773;1016;-1,758;-112,852;218;-0,156;214;-113,554688;201;0,32;-832;-704;101;218,46;247,077;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:05:922;41,18426091;2,03061378;1379,22881323658;4525,0290596191;7,730469;204,873047;5315;45,25;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-136,054688;212;0,348;3264;3136;1528;238,48;220,9131;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:06:102;41,26344633;2,05878607;380,998980584554;1249,99669546103;2,976562;221,237183;6330;12,5;345218;AEA48JV;1016;-15,645;-166,992;164;-1,562;166;-169,277344;159;0,248;1344;1024;1867;165,22;192,9419;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:06:891;41,45530564;1,6008019;1439,85243679676;4723,92546874029;24,480469;292,434082;7371;47,25;342603;BSO1JL;1017;-1,23;NV;104;NV;108;81,210938;98;0,16;-704;NV;18;105,6;87,5226;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:08:352;41,36916128;2,2894423;800,055754656903;2624,85492210856;9,421875;64,077759;1000;26,25;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,257812;199;0,316;-640;-608;101;216,04;246,5222;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:09:922;41,18112996;2,02636199;1440,18880208116;4725,02902941995;7,984375;205,565186;5315;47,25;3C48EA;EWG5PJ;1016;9,844;-131,133;240;0,781;234;-130,78125;213;0,348;2944;2816;1528;239,36;227,7081;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:10:070;41,26026732;2,05816771;403,859195820987;1324,99740401733;3,140625;219,325562;6330;13,25;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-172,441406;165;0,256;1088;800;1867;171,82;188,031;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:10:891;41,45559637;1,6032909;1424,61606513802;4673,93737114742;24,382812;292,571411;7371;46,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;80,683594;99;0,164;-704;NV;18;105,16;86,814;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:12:352;41,36755047;2,28461652;792,438027333468;2599,86237759674;9,183594;64,02832;1000;26;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,785156;197;0,312;-544;-608;101;213,62;245,9509;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:13:930;41,17834611;2,02180059;1493,52859141212;4900,02834384854;8,226562;206,367188;5315;49;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-128,847656;213;0,352;2720;2592;1528;241,78;230,7074;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:14:055;41,25708557;2,05780057;419,099465851672;1374,9982915448;3,300781;217,446899;6330;13,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-174,023438;171;0,264;1184;992;1867;177,98;185,8063;No alert, no SPI, aircraft airbone
