Tipo_Infraccion;Par_Vuelos;Pista;Tiempo_s;Distancia_NM;Altitud_ft;Detalle
RADAR;RYR82GJ-RYR1FB;LEBL-06R;14663.0;18.326.665.546.281.100;15.249.684.086.035.300;HORIZONTAL SEPARATION
RADAR;VLG6152-VLG9YD;LEBL-06R;14894.0;20.795.940.025.196.100;500.441.761.873.999;OPERATIONAL SEPARATION
RADAR;VLG9YD-RYR28RR;LEBL-06R;15006.0;0.4169139224533288;17.999.953.013.300.900;HORIZONTAL SEPARATION
RADAR;RYR699N-VLG53PC;LEBL-06R;15282.0;0.4116717746329769;10.499.914.948.537.600;HORIZONTAL SEPARATION
RADAR;VLG53PC-SWR7YT;LEBL-06R;15398.0;0.5649065177796545;12.502.303.344.652.900;OPERATIONAL SEPARATION
RADAR;SWR7YT-RYR32FE;LEBL-06R;15498.0;0.045847613622410674;7.499.817.289.911.970;OPERATIONAL SEPARATION
RADAR;RYR32FE-RYR57ZC;LEBL-06R;15577.0;0.9383296361244176;4.996.405.806.952.950;OPERATIONAL SEPARATION
RADAR;RYR57ZC-VLG1510;LEBL-06R;15633.0;16.260.660.595.183;50.047.107.849.180.000;OPERATIONAL SEPARATION
RADAR;VLG1510-VLG8FU;LEBL-06R;15805.0;0.5814214776102783;15.999.930.488.508.000;HORIZONTAL SEPARATION
RADAR;VLG8FU-RYR73JP;LEBL-06R;15921.0;10.991.878.201.652.400;7.496.006.836.947.980;OPERATIONAL SEPARATION
RADAR;RYR73JP-ITY075;LEBL-06R;16029.0;0.1267372819973285;10.750.043.341.104.000;HORIZONTAL SEPARATION
RADAR;ITY075-RYR2A;LEBL-06R;16141.0;0.5826777816926199;54.998.784.239.832;OPERATIONAL SEPARATION
RADAR;TVF32ER-VLG911N;LEBL-06R;16289.0;0.008861620459509414;17.500.002.622.182.800;HORIZONTAL SEPARATION
RADAR;VLG911N-TAP1041;LEBL-06R;16408.0;13.200.017.611.441.100;15.999.726.301.740.700;HORIZONTAL SEPARATION
RADAR;TAP1041-RYR2VR;LEBL-06R;16520.0;21.811.169.446.906.500;9.999.651.653.190.990;OPERATIONAL SEPARATION
RADAR;RYR2VR-RYR81RY;LEBL-06R;16648.0;0.038411733493631146;24.998.423.760.750.400;OPERATIONAL SEPARATION
RADAR;RYR81RY-KLM73T;LEBL-06R;16716.0;1.021.593.682.076.150;14.249.745.991.771.000;HORIZONTAL SEPARATION
RADAR;KLM73T-AFR32SN;LEBL-06R;16864.0;0.8115065170231845;0.015213555009722768;OPERATIONAL SEPARATION
RADAR;AFR32SN-VLG8SJ;LEBL-06R;16968.0;15.989.346.906.269.800;7.496.730.520.444.990;OPERATIONAL SEPARATION
RADAR;VLG8SJ-EJU73YK;LEBL-06R;17259.0;1.123.960.757.120.120;0.039607717330000014;OPERATIONAL SEPARATION
RADAR;EJU73YK-UPS242;LEBL-06R;17463.0;2.628.062.918.838.930;0.07787290622945875;OPERATIONAL SEPARATION
